"areaName","value","recordDate"
"延安",123,2013-01-01
"金昌",93,2013-01-01
"柳州",71,2013-01-01
"三亚",26,2013-01-01
"攀枝花",91,2013-01-01
"宜宾",70,2013-01-01
"遵义",84,2013-01-01
"铜川",77,2013-01-01
"咸阳",86,2013-01-01
"银川",91,2013-01-01
"石嘴山",74,2013-01-01
"乌鲁木齐",183,2013-01-01
"克拉玛依",85,2013-01-01
"唐山",147,2013-01-01
"邯郸",149,2013-01-01
"保定",249,2013-01-01
"临汾",113,2013-01-01
"包头",59,2013-01-01
"本溪",91,2013-01-01
"锦州",61,2013-01-01
"吉林",68,2013-01-01
"大庆",92,2013-01-01
"无锡",67,2013-01-01
"徐州",91,2013-01-01
"常州",74,2013-01-01
"嘉兴",73,2013-01-01
"台州",62,2013-01-01
"马鞍山",70,2013-01-01
"威海",75,2013-01-01
"洛阳",110,2013-01-01
"安阳",127,2013-01-01
"焦作",82,2013-01-01
"三门峡",93,2013-01-01
"宜昌",83,2013-01-01
"株洲",63,2013-01-01
"湘潭",79,2013-01-01
"岳阳",61,2013-01-01
"佛山",75,2013-01-01
"中山",74,2013-01-01
"常德",72,2013-01-01
"张家界",65,2013-01-01
"广州",64,2013-01-01
"韶关",46,2013-01-01
"深圳",66,2013-01-01
"珠海",65,2013-01-01
"汕头",63,2013-01-01
"湛江",48,2013-01-01
"南宁",77,2013-01-01
"桂林",58,2013-01-01
"北海",64,2013-01-01
"海口",52,2013-01-01
"重庆",90,2013-01-01
"成都",152,2013-01-01
"自贡",74,2013-01-01
"泸州",79,2013-01-01
"德阳",67,2013-01-01
"绵阳",65,2013-01-01
"南充",74,2013-01-01
"贵阳",112,2013-01-01
"昆明",108,2013-01-01
"曲靖",76,2013-01-01
"玉溪",67,2013-01-01
"拉萨",57,2013-01-01
"西安",109,2013-01-01
"宝鸡",97,2013-01-01
"渭南",71,2013-01-01
"兰州",100,2013-01-01
"西宁",130,2013-01-01
"连云港",82,2013-01-01
"扬州",58,2013-01-01
"镇江",71,2013-01-01
"杭州",63,2013-01-01
"宁波",75,2013-01-01
"温州",84,2013-01-01
"湖州",74,2013-01-01
"绍兴",72,2013-01-01
"合肥",65,2013-01-01
"芜湖",43,2013-01-01
"福州",56,2013-01-01
"厦门",57,2013-01-01
"泉州",55,2013-01-01
"南昌",95,2013-01-01
"九江",47,2013-01-01
"济南",146,2013-01-01
"青岛",104,2013-01-01
"淄博",104,2013-01-01
"枣庄",106,2013-01-01
"烟台",81,2013-01-01
"潍坊",149,2013-01-01
"济宁",93,2013-01-01
"泰安",120,2013-01-01
"日照",95,2013-01-01
"郑州",179,2013-01-01
"开封",135,2013-01-01
"平顶山",169,2013-01-01
"武汉",81,2013-01-01
"荆州",59,2013-01-01
"长沙",76,2013-01-01
"北京",71,2013-01-01
"天津",151,2013-01-01
"石家庄",262,2013-01-01
"秦皇岛",111,2013-01-01
"太原",102,2013-01-01
"大同",67,2013-01-01
"阳泉",64,2013-01-01
"长治",87,2013-01-01
"呼和浩特",80,2013-01-01
"赤峰",68,2013-01-01
"沈阳",113,2013-01-01
"大连",73,2013-01-01
"鞍山",52,2013-01-01
"抚顺",76,2013-01-01
"长春",113,2013-01-01
"哈尔滨",154,2013-01-01
"齐齐哈尔",66,2013-01-01
"牡丹江",51,2013-01-01
"上海",81,2013-01-01
"南京",84,2013-01-01
"苏州",81,2013-01-01
"南通",83,2013-01-01
"延安",60,2013-01-02
"金昌",57,2013-01-02
"济南",89,2013-01-02
"青岛",83,2013-01-02
"淄博",63,2013-01-02
"枣庄",96,2013-01-02
"烟台",54,2013-01-02
"潍坊",86,2013-01-02
"济宁",93,2013-01-02
"泰安",79,2013-01-02
"日照",92,2013-01-02
"郑州",76,2013-01-02
"开封",78,2013-01-02
"平顶山",170,2013-01-02
"常州",95,2013-01-02
