"areaName","lat","lng"
"湛江","21.277163","110.365494"
"南宁","22.823037","108.373351"
"海口","20.050057","110.206424"
"重庆","29.570997","106.557165"
"成都","30.576279","104.071216"
"贵阳","26.652747","106.636816"
"昆明","24.885953","102.839667"
"拉萨","29.650088","91.121025"
"西安","34.347436","108.946306"
"兰州","36.067312","103.840692"
"西宁","36.623477","101.784269"
"银川","38.492392","106.238976"
"乌鲁木齐","43.832806","87.623314"
"汕头","23.359289","116.688739"
"北京","39.911013","116.413554"
"天津","39.090908","117.205914"
"石家庄","38.048684","114.520828"
"太原","37.876885","112.55706"
"呼和浩特","40.847461","111.758518"
"沈阳","41.811339","123.438973"
"大连","38.919345","121.621391"
"长春","43.82178","125.33017"
"哈尔滨","45.807782","126.542417"
"上海","31.236305","121.480237"
"南京","32.064735","118.802891"
"苏州","31.304566","120.589613"
"南通","31.985237","120.900301"
"杭州","30.280059","120.161693"
"温州","28.001095","120.705869"
"合肥","31.82687","117.235447"
"福州","26.080447","119.302938"
"厦门","24.485821","118.095915"
"南昌","28.687675","115.864528"
"济南","36.671627","117.001319"
"青岛","36.072358","120.389445"
"烟台","37.469868","121.454425"
"郑州","34.753488","113.631349"
"武汉","30.598428","114.311831"
"长沙","28.233971","112.945333"
"广州","23.135308","113.270793"
"深圳","22.548515","114.066112"
"珠海","22.276392","113.583235"
"北海","21.486955","109.126614"
"桂林","25.279893","110.296442"
"连云港","34.602342","119.229571"
"宁波","29.880177","121.556686"
"秦皇岛","39.941259","119.606184"
"铜川","34.902957","108.951558"
"咸阳","34.335599","108.715712"
"延安","36.591003","109.496361"
"金昌","38.525777","102.194197"
"唐山","39.636673","118.187036"
"保定","38.880055","115.471052"
"临汾","36.094052","111.526153"
"大庆","46.593216","125.109727"
"无锡","31.496704","120.318954"
"徐州","34.210143","117.29235"
"常州","31.816791","119.980142"
"嘉兴","30.750912","120.762045"
"台州","28.662297","121.426996"
"威海","37.519322","122.128245"
"洛阳","34.624376","112.460033"
"安阳","36.103649","114.3996"
"株洲","27.833737","113.140431"
"湘潭","27.83585","112.950575"
"岳阳","29.363262","113.135679"
"佛山","23.027707","113.128432"
"中山","22.522262","113.399023"
"三亚","18.258217","109.518646"
"攀枝花","26.588109","101.725262"
"宜宾","28.75761","104.648103"
"遵义","27.731749","106.933658"
"包头","40.663636","109.846755"
"泸州","28.877577","105.449092"
"德阳","31.133105","104.404319"
"绵阳","31.473364","104.686164"
